img_id,Day,Clone,Imaging,org_size_mikrometer2,auto_um2,ratio,n
org49_B2A-2_d02_LabB,2,B2A-2,LabB,198698,1375988.4900360005,6.9250243587555005,1.0
org49_B2A-2_d02_LabA,2,B2A-2,LabA,198406,1115476.58293344,5.622191783179138,1.0
org50_B2A-2_d02_LabB,2,B2A-2,LabB,214404,983856.7352160002,4.588798414283317,1.0
org51_B2A-2_d02_LabB,2,B2A-2,LabB,235209,1019596.3467480002,4.334852606609442,1.0
org18_TH2-7_d30_LabA,30,TH2-7,LabA,4552175,1739111.55539296,0.3820396964951831,1.0
org50_B2A-2_d30_LabB,30,B2A-2,LabB,2749005,1242836.6992920002,0.4521041974430749,1.0
org18_TH2-7_d25_LabA,25,TH2-7,LabA,3433384,2326453.2798406403,0.6775977519090903,1.0
org03_wt2D_d22_LabB,22,wt2D,LabB,815079,1047779.2759320004,1.2854941372946675,1.0
org03_wt2D_d22_LabA,22,wt2D,LabA,888019,1088807.45504836,1.2261082871519189,1.0
org03_wt2D_d30_LabA,30,wt2D,LabA,1101136,1340486.70885232,1.217367072598044,1.0
org35_A1A-1_d30_LabA,30,A1A-1,LabA,3499960,2789582.76502484,0.7970327560957382,1.0
org19_TH2-7_d10_LabA,10,TH2-7,LabA,909930,1067986.90796872,1.1737022715689338,1.0
org51_B2A-2_d12_LabB_before_embedding,12,B2A-2,LabB,811261,935666.0776800002,1.1533477853366552,1.0
org19_TH2-7_d12_LabB_before_embedding,12,TH2-7,LabB,898966,1016772.6754080002,1.1310468642952016,1.0
org18_TH2-7_d08_LabB,8,TH2-7,LabB,958953,1084567.6796760005,1.130991487253286,1.0
