img_id,Day,Clone,Imaging,org_size_mikrometer2,auto_um2,ratio,n
org49_B2A-2_d02_LabB,2,B2A-2,LabB,198698,1375988.4900360005,6.9250243587555005,1.0
org49_B2A-2_d02_LabA,2,B2A-2,LabA,198406,1115476.58293344,5.622191783179138,1.0
org50_B2A-2_d02_LabB,2,B2A-2,LabB,214404,983856.7352160002,4.588798414283317,1.0
org51_B2A-2_d02_LabB,2,B2A-2,LabB,235209,1019596.3467480002,4.334852606609442,1.0
org01_wt2D_d02_LabB,2,wt2D,LabB,332658,799233.4497600002,2.402567951950653,1.0
org01_wt2D_d02_LabA,2,wt2D,LabA,342954,729229.89713856,2.12631984796375,1.0
org19_TH2-7_d02_LabA,2,TH2-7,LabA,304559,622272.97418976,2.0431935164935533,1.0
org19_TH2-7_d02_LabB,2,TH2-7,LabB,294901,529164.9731520001,1.7943817523575711,1.0
org18_TH2-7_d30_LabA,30,TH2-7,LabA,4552175,1739111.55539296,0.3820396964951831,1.0
org50_B2A-2_d30_LabB,30,B2A-2,LabB,2749005,1242836.6992920002,0.4521041974430749,1.0
org34_A1A-1_d02_LabA,2,A1A-1,LabA,467133,722810.478823,1.5473333693466313,1.0
org17_TH2-7_d02_LabA,2,TH2-7,LabA,291980,448848.53273804,1.5372578010070554,1.0
org49_B2A-2_d12_LabA_before_embedding,12,B2A-2,LabA,637518,870977.8641252,1.3662012117700206,1.0
org03_wt2D_d02_LabB,2,wt2D,LabB,424451,574594.7076000001,1.3537362560107058,1.0
org18_TH2-7_d25_LabA,25,TH2-7,LabA,3433384,2326453.2798406403,0.6775977519090903,1.0
